gene_symbol,importance
Adgrg6,3.8338734e-05
Olig3,0.00022482188
Slc35d3,9.9738805e-05
Eya4,-0.00015031992
Moxd1,-6.771325e-05
Ccn2,4.146812e-05
Tmem200a,0.09577633
Samd3,-4.1424726e-05
Rspo3,0.08083953
Trdn,8.0113445e-05
Lama4,-0.00015430215
Ddo,9.466625e-06
Gpr6,3.5595265e-05
Nr2e1,0.00016181043
Scml4,0.0532562
Cd24a,0.00017811728
Crybg1,5.1386e-05
Popdc3,-3.0716255e-05
Bves,0.00016822884
Vgll2,-8.7972134e-05
Man1a,0.13994041
Gja1,0.026811
Cdh23,-9.263374e-05
Egr2,0.0001661852
Tmem26,-2.3686924e-05
Adora2a,5.1954878e-05
Col6a1,0.060464315
Col18a1,-9.17569e-05
Tspear,8.037686e-05
Glt8d2,0.00017814728
Ascl1,6.4027925e-05
Igf1,0.04294384
Mybpc1,0.00013855755
Gas2l3,0.000114438706
Slc17a8,5.866962e-05
Rmst,0.111327626
Dcn,0.046251252
Kitl,0.15460217
Nts,-2.7056944e-05
Trhde,0.15897241
Lgr5,0.00016878408
Wif1,1.7062371e-06
Avpr1a,4.978283e-05
Tafa2,0.23026665
Nxph4,0.00015403447
Tac2,-4.6749105e-05
Nefh,-5.02483e-05
Gck,-5.8434303e-05
Ramp3,-0.00015465252
Vwc2,0.09457419
Ddc,5.0872244e-05
Egfr,3.6718207e-05
Meis1,0.04971524
Otx1,0.0002882445
Bcl11a,0.17064665
Fgf18,-0.00013111722
Kcnip1,0.11838475
Insyn2b,0.0002734702
Slit3,0.11473955
Adra1b,0.05584044
Ebf1,0.0662992
Adamts2,0.06388846
Col23a1,0.0989475
Gpx3,0.038645007
Glra1,-3.2394266e-05
Nmur2,0.00012941411
Rasd1,-4.8511843e-05
Hs3st3b1,0.0001285044
Dnah9,0.047891356
Shisa6,0.19353671
Glp2r,-0.00015292509
Usp43,-3.058552e-05
Ntn1,0.0003806038
Ccdc42,-0.0001991544
Alox8,1.0087846e-05
Kcnab3,6.8677327e-06
Fgf11,0.044859093
Doc2b,0.12371907
Slc6a4,-0.00012430426
Coro6,0.00011253343
Rskr,-4.0414103e-05
Slfn9,-0.00019606425
Car4,0.040211692
Ankfn1,0.08552057
Nxph3,0.03809358
Skap1,-3.95377e-05
Stac2,0.091807544
Neurod2,0.05879155
Ppp1r1b,0.0758028
Tcap,-1.6063415e-05
Igfbp4,0.056864165
Krt12,0.03789771
A830036E02Rik,0.052216496
Krt9,-2.5694302e-05
Fzd2,3.974339e-05
Gfap,0.00012247039
C1ql1,6.164614e-05
Crhr1,-6.992509e-05
Myl4,-4.0836272e-05
Cacng5,0.055689987
Fam20a,-0.00015800989
Abca8a,-0.0001292426
Sox9,9.3051596e-05
Sstr2,0.052134525
Rab37,-0.00010886677
Slc9a3r1,-0.0002468204
Grin2c,5.5991506e-05
Osr1,0.00012942115
Kcns3,4.388259e-05
Ntsr2,2.903798e-05
Greb1,-0.00034515574
Atp6v1c2,3.2173775e-06
Id2,0.20477577
Sox11,0.23721808
Sntg2,0.054324463
Slc26a4,0.03344337
Sostdc1,-3.4428027e-05
Etv1,0.15060297
Stxbp6,0.17780003
Prkd1,0.14915664
Coch,7.261747e-05
Npas3,0.21290448
Egln3,0.00012635574
Baz1a,0.00013240974
Nkx2-1,7.395236e-05
Ttc6,7.9227335e-05
Sstr1,-7.0761234e-06
Abhd12b,-0.00027466586
9630002D21Rik,-0.00011958226
Esr2,8.4958665e-06
Plekhd1,-0.00019270417
Rgs6,0.20904349
Dpf3,0.0003688179
Syndig1l,-0.0002443831
Esrrb,9.018703e-06
Ngb,0.042664997
Tshr,-8.364563e-05
Fbln5,-0.0001771524
Slc24a4,0.06827546
Asb2,0.00017787318
Serpina9,4.088497e-05
Serpina3g,4.782485e-05
Serpina3n,-0.00027394673
Bcl11b,0.16134398
Dlk1,0.072613485
Dio3,6.054333e-05
Nudt14,-7.929049e-05
Ighm,5.8966725e-05
Vipr2,0.00020439943
Dnah11,-8.122554e-05
Sp8,-4.0961695e-05
Chrm3,0.1947557
Actn2,-0.00032454415
Edaradd,1.6488499e-05
Gli3,0.00022972787
Inhba,0.055593323
Pou6f2,0.09535835
Scgn,-8.747258e-05
Dcdc2a,-0.00023529792
Agtr1a,-0.00016049351
Serpinb1b,-0.000119145225
Rreb1,0.079609245
Bmp6,-4.565738e-05
A330076C08Rik,-6.2907448e-06
Id4,0.13455556
Ecm2,3.090281e-06
Ror2,-8.050403e-06
Drd1,0.059679482
Hrh2,-0.00014339974
Cxcl14,0.05640018
Tgfbi,-0.00036030152
Trpc7,0.06501622
Cntnap3,0.013957793
Adcy2,0.20693336
Adamts16,8.328917e-05
Slc6a3,-8.8410525e-05
Gpr150,-0.00013503368
Nr2f1,0.21822202
Adgrv1,6.643936e-05
Mef2c,0.23648214
Hapln1,8.9174406e-05
Vcan,0.041858546
Atp6ap1l,0.00033914548
A830009L08Rik,5.7432626e-06
Thbs4,-0.000101747995
Lhfpl2,2.6463298e-05
Crhbp,3.021385e-05
Iqgap2,0.115247086
Sv2c,0.10844323
Gcnt4,1.0854179e-05
Lncenc1,5.6134522e-05
Cartpt,-0.00015325409
Ccnb1,0.00010269711
